stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After BS (Heisenberg),after_bs,A,9,9.000000000000002,90.00000000000001,1,|H>,0.00012384759019261416
After BS (Heisenberg),after_bs,A,9,9.000000000000002,90.00000000000001,2,|V>,0.00012019343637268795
After BS (Heisenberg),after_bs,A,9,9.000000000000002,90.00000000000001,3,|2H>,7.0908307435381406e-09
After BS (Heisenberg),after_bs,A,9,9.000000000000002,90.00000000000001,4,|2V>,6.81201751711738e-09
After BS (Heisenberg),after_bs,A,9,9.000000000000002,90.00000000000001,5,|HV>,6.955163347085184e-09
After BS (Heisenberg),after_bs,A,10,10.0,89.0,0,|vac>,0.9997338572884018
After BS (Heisenberg),after_bs,A,10,10.0,89.0,1,|H>,0.00013500358950290327
After BS (Heisenberg),after_bs,A,10,10.0,89.0,2,|V>,0.00013111407336666923
After BS (Heisenberg),after_bs,A,10,10.0,89.0,3,|2H>,8.515495044453653e-09
After BS (Heisenberg),after_bs,A,10,10.0,89.0,4,|2V>,8.18066366378967e-09
After BS (Heisenberg),after_bs,A,10,10.0,89.0,5,|HV>,8.352569840909485e-09
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,0,|vac>,0.9997113737715635
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,1,|H>,0.00014635791215802043
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,2,|V>,0.00014223860025739293
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,3,|2H>,1.0102174756096278e-08
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,4,|2V>,9.70495473498954e-09
After BS (Heisenberg),after_bs,A,11,11.000000000000002,88.00000000000001,5,|HV>,9.908891938152796e-09
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,0,|vac>,0.9996886366997336
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,1,|H>,0.00015783485142198829
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,2,|V>,0.00015349360115826384
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,3,|2H>,1.1846720728446836e-08
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,4,|2V>,1.1380904726307274e-08
After BS (Heisenberg),after_bs,A,12,12.000000000000002,87.00000000000001,5,|HV>,1.1620059873624266e-08
After BS (Heisenberg),after_bs,A,13,13.0,86.0,0,|vac>,0.9996658082719518
After BS (Heisenberg),after_bs,A,13,13.0,86.0,1,|H>,0.00016935212715909052
After BS (Heisenberg),after_bs,A,13,13.0,86.0,2,|V>,0.00016479918335547005
After BS (Heisenberg),after_bs,A,13,13.0,86.0,3,|2H>,1.3740230746034102e-08
After BS (Heisenberg),after_bs,A,13,13.0,86.0,4,|2V>,1.3199961459595662e-08
After BS (Heisenberg),after_bs,A,13,13.0,86.0,5,|HV>,1.3477341756098066e-08
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,0,|vac>,0.9996430631703013
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,1,|H>,0.00018082118784724366
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,2,|V>,0.00017606925781564554
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,3,|2H>,1.5768585794551968e-08
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,4,|2V>,1.5148561083699085e-08
After BS (Heisenberg),after_bs,A,14,14.000000000000002,85.0,5,|HV>,1.546688870744582e-08
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,0,|vac>,0.9996205877216671
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,1,|H>,0.000192147643159571
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,2,|V>,0.00018721194588825933
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,3,|2H>,1.7912100907021935e-08
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,4,|2V>,1.720779264943029e-08
After BS (Heisenberg),after_bs,A,15,15.000000000000002,84.00000000000001,5,|HV>,1.756939238908551e-08
After BS (Heisenberg),after_bs,A,16,16.0,83.0,0,|vac>,0.9995985787755212
After BS (Heisenberg),after_bs,A,16,16.0,83.0,1,|H>,0.00020323184059368
After BS (Heisenberg),after_bs,A,16,16.0,83.0,2,|V>,0.00019813012546132997
After BS (Heisenberg),after_bs,A,16,16.0,83.0,3,|2H>,2.0145326554324874e-08
After BS (Heisenberg),after_bs,A,16,16.0,83.0,4,|2V>,1.9353207309477875e-08
After BS (Heisenberg),after_bs,A,16,16.0,83.0,5,|HV>,1.9759890192470136e-08
After BS (Heisenberg),after_bs,A,17,17.0,82.0,0,|vac>,0.9995772422725165
After BS (Heisenberg),after_bs,A,17,17.0,82.0,1,|H>,0.00021396959880197122
After BS (Heisenberg),after_bs,A,17,17.0,82.0,2,|V>,0.0002087221290835332
After BS (Heisenberg),after_bs,A,17,17.0,82.0,3,|2H>,2.2437036885875902e-08
After BS (Heisenberg),after_bs,A,17,17.0,82.0,4,|2V>,2.1554807021459803e-08
After BS (Heisenberg),after_bs,A,17,17.0,82.0,5,|HV>,2.2007753704748378e-08
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,0,|vac>,0.9995567914813247
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,1,|H>,0.00022425310884928532
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,2,|V>,0.00021888260524566147
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,3,|2H>,2.4750439526633604e-08
