stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Fiber (Heisenberg),after_fiber,A,17,17.0,82.0,2,|V>,0.0001868213584020898
After Fiber (Heisenberg),after_fiber,A,18,18.000000000000004,81.00000000000001,0,|vac>,0.9996050444704287
After Fiber (Heisenberg),after_fiber,A,18,18.000000000000004,81.00000000000001,1,|H>,0.00019566204738340193
After Fiber (Heisenberg),after_fiber,A,18,18.000000000000004,81.00000000000001,2,|V>,0.0001992934821879184
After Fiber (Heisenberg),after_fiber,A,19,19.0,80.0,0,|vac>,0.9995807028263507
After Fiber (Heisenberg),after_fiber,A,19,19.0,80.0,1,|H>,0.0002077209643002385
After Fiber (Heisenberg),after_fiber,A,19,19.0,80.0,2,|V>,0.00021157620934890854
After Fiber (Heisenberg),after_fiber,A,20,20.0,79.0,0,|vac>,0.9995569583614599
After Fiber (Heisenberg),after_fiber,A,20,20.0,79.0,1,|H>,0.00021948403701828326
After Fiber (Heisenberg),after_fiber,A,20,20.0,79.0,2,|V>,0.00022355760152260705
After Fiber (Heisenberg),after_fiber,A,21,21.000000000000004,78.00000000000001,0,|vac>,0.9995340433221948
After Fiber (Heisenberg),after_fiber,A,21,21.000000000000004,78.00000000000001,1,|H>,0.00023083621001673897
After Fiber (Heisenberg),after_fiber,A,21,21.000000000000004,78.00000000000001,2,|V>,0.00023512046778879022
After Fiber (Heisenberg),after_fiber,A,22,22.000000000000004,77.0,0,|vac>,0.99951219840677
After Fiber (Heisenberg),after_fiber,A,22,22.000000000000004,77.0,1,|H>,0.00024165824074379784
After Fiber (Heisenberg),after_fiber,A,22,22.000000000000004,77.0,2,|V>,0.0002461433524860662
After Fiber (Heisenberg),after_fiber,A,23,23.0,76.0,0,|vac>,0.9994916703956737
After Fiber (Heisenberg),after_fiber,A,23,23.0,76.0,1,|H>,0.00025182787347215505
After Fiber (Heisenberg),after_fiber,A,23,23.0,76.0,2,|V>,0.00025650173085382035
After Fiber (Heisenberg),after_fiber,A,24,24.000000000000004,75.00000000000001,0,|vac>,0.9994727093497131
After Fiber (Heisenberg),after_fiber,A,24,24.000000000000004,75.00000000000001,1,|H>,0.0002612212273957232
After Fiber (Heisenberg),after_fiber,A,24,24.000000000000004,75.00000000000001,2,|V>,0.00026606942289163026
After Fiber (Heisenberg),after_fiber,A,25,25.000000000000004,74.0,0,|vac>,0.9994555653627458
After Fiber (Heisenberg),after_fiber,A,25,25.000000000000004,74.0,1,|H>,0.00026971440533355876
After Fiber (Heisenberg),after_fiber,A,25,25.000000000000004,74.0,2,|V>,0.00027472023192030013
After Fiber (Heisenberg),after_fiber,A,26,26.0,73.0,0,|vac>,0.9994404848664625
After Fiber (Heisenberg),after_fiber,A,26,26.0,73.0,1,|H>,0.0002771853243546574
After Fiber (Heisenberg),after_fiber,A,26,26.0,73.0,2,|V>,0.00028232980918257484
After Fiber (Heisenberg),after_fiber,A,27,27.0,72.00000000000001,0,|vac>,0.9994277064975
After Fiber (Heisenberg),after_fiber,A,27,27.0,72.00000000000001,1,|H>,0.0002835157632173901
After Fiber (Heisenberg),after_fiber,A,27,27.0,72.00000000000001,2,|V>,0.0002887777392824747
After Fiber (Heisenberg),after_fiber,A,28,28.000000000000004,71.0,0,|vac>,0.9994174565532069
After Fiber (Heisenberg),after_fiber,A,28,28.000000000000004,71.0,1,|H>,0.000288593613597639
After Fiber (Heisenberg),after_fiber,A,28,28.000000000000004,71.0,2,|V>,0.0002939498331956415
After Fiber (Heisenberg),after_fiber,A,29,29.0,70.0,0,|vac>,0.9994099440815348
After Fiber (Heisenberg),after_fiber,A,29,29.0,70.0,1,|H>,0.0002923153125693047
After Fiber (Heisenberg),after_fiber,A,29,29.0,70.0,2,|V>,0.0002977406058960046
After Fiber (Heisenberg),after_fiber,A,30,30.000000000000004,69.00000000000001,0,|vac>,0.9994053556730149
